rent,rooms,bathrooms,sqft,address
409500,4,4,2225,"8815 Hollister Square Ct, Houston, TX 77080"
249532,3,3,9321,"10307 Elk Point Ln, Houston, TX 77064"
450000,4,4,4614,"13822 Viewfield Ct, Houston, TX 77059"
469900,4,4,6300,"4606 Omeara Dr Dr, Houston, TX 77035"
352500,3,3,2150,"12800 Briar Forest Dr #40, Houston, TX 77077"
499000,8,8,10454.4,"13932 Greenville St, Houston, TX 77015"
499700,3,3,4678,"10419 Westray St, Houston, TX 77043"
545000,3,3,6250,"1913 Hoskins Dr Unit B, Houston, TX 77080"
547000,4,4,2073,"12315 S Shadow Cove Dr, Houston, TX 77082"
169900,2,2,1895,"7105 Lavender St, Houston, TX 77016"
245000,4,4,2045,"5415 Evergreen Canyon Rd, Houston, TX 77066"
319000,4,4,8000,"15203 Mission Oak Dr, Houston, TX 77083"
235000,3,3,946,"12009 Poulson Dr, Houston, TX 77031"
1649000,4,4,1943,"939 Redan St, Houston, TX 77009"
315000,2,2,6954,"3505 Sage Rd #1410, Houston, TX 77056"
250000,3,3,2157,"830 Grand Plains Dr, Houston, TX 77090"
474999,3,3,2013,"1627 Westside Gardens Ln, Houston, TX 77055"
1189500,3,3,1440,"2617 Morrison St, Houston, TX 77009"
367000,4,4,6300,"5426 Casa Martin Dr, Katy, TX 77449"
194900,2,2,2874,"1535 Silverpines Rd, Houston, TX 77062"
529900,6,6,7820,"5222 Pershing St, Houston, TX 77033"
215000,2,2,2721,"2515 Bering Dr #1, Houston, TX 77057"
1290000,4,4,11325.6,"221 W 23rd St, Houston, TX 77008"
374000,3,3,2314,"3001 Bolt St, Houston, TX 77051"
1290000,4,4,8792,"219 W 23rd St, Houston, TX 77008"
334900,2,2,3381,"1120 Texas St Unit 6C, Houston, TX 77002"
250000,3,3,3275,"20606 Marilyn Ln, Spring, TX 77388"
270000,3,3,1405,"15839 Clayton Bend Dr, Houston, TX 77082"
798000,4,4,1200,"5031 Braesheather Dr, Houston, TX 77096"
637200,3,3,19602.0,"5304 Lambeth Riverside Dr, Houston, TX 77091"
120000,3,3,1782,"9515 Windswept Ln #9515, Houston, TX 77063"
340000,4,4,7530,"11507 Sagelink Dr, Houston, TX 77089"
1875000,5,5,4401,"2224 Potomac Dr, Houston, TX 77057"
